domain,matched_domain,match_type,tranco_rank,reach_score,reach_percentile,reach_tier,mentions,unique_outlets,top_outlet,top_outlet_mentions,first_mention_date,last_mention_date,tranco_list_id,tranco_list_created_on,generated_at_utc
ct.moreover.com,moreover.com,suffix,37116,23.84,96.288,medium,44,36,MSN,3,2024-02-23T14:45:00,2025-05-25T01:32:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
phys.org,phys.org,exact,2814,42.51,99.719,high,11,1,Phys.org,11,2014-10-14T19:19:16,2023-12-20T18:19:09,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
theconversation.com,theconversation.com,exact,980,50.15,99.902,very_high,9,1,The Conversation,9,2018-05-24T15:08:08,2024-02-15T05:11:12,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
rawstory.com,rawstory.com,exact,8816,34.25,99.118,high,8,1,The Raw Story,8,2022-11-25T03:37:42,2023-12-27T12:52:43,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
feedproxy.google.com,google.com,suffix,1,100.0,100.0,very_high,7,3,Sci-News,3,2015-10-14T01:10:13,2021-10-15T18:43:11,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
uk.news.yahoo.com,yahoo.com,suffix,57,70.74,99.994,very_high,7,1,Yahoo! News,7,2018-05-24T15:00:00,2023-12-19T16:53:46,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
eurekalert.org,eurekalert.org,exact,3825,40.29,99.618,high,7,1,EurekAlert!,7,2014-10-14T04:00:00,2021-11-17T14:09:24,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
msn.com,msn.com,exact,61,70.24,99.994,very_high,6,1,MSN,6,2018-05-25T12:53:52,2023-12-20T20:34:55,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
sciencedaily.com,sciencedaily.com,exact,1802,45.74,99.82,high,6,1,Science Daily,6,2014-10-14T19:26:37,2021-11-17T15:01:31,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
news.google.com,google.com,suffix,1,100.0,100.0,very_high,5,1,Google News,5,2019-09-13T12:16:00,2022-11-26T17:10:01,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
newswise.com,newswise.com,exact,19335,28.56,98.067,medium,4,1,Newswise,4,2015-10-12T20:05:00,2021-11-17T00:00:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
miragenews.com,miragenews.com,exact,30262,25.32,96.974,medium,4,1,Mirage News,4,2021-10-11T14:09:36,2021-11-17T14:08:13,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
news.cornell.edu,cornell.edu,suffix,421,56.26,99.958,very_high,3,1,Cornell Chronicle,3,2017-09-21T16:09:02,2021-10-11T14:10:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
sciencealert.com,sciencealert.com,exact,3970,40.02,99.603,high,3,1,Science Alert,3,2018-05-25T03:38:55,2022-11-25T06:16:58,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
firstpost.com,firstpost.com,exact,8109,34.85,99.189,high,3,1,Firstpost,3,2015-10-07T19:15:56,2022-11-25T07:59:21,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
inverse.com,inverse.com,exact,8500,34.51,99.15,high,3,1,Inverse,3,2018-05-24T15:00:00,2022-12-04T20:00:25,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
naked-science.ru,naked-science.ru,exact,17139,29.43,98.286,medium,3,1,Naked Science,3,2018-05-25T06:27:30,2021-10-14T09:55:49,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
futurity.org,futurity.org,exact,37260,23.81,96.274,medium,3,1,Futurity,3,2015-10-08T15:42:52,2021-11-03T17:55:49,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
sci-news.com,sci-news.com,exact,98706,16.76,90.129,medium,3,1,Sci-News,3,2014-10-21T10:01:02,2017-09-22T10:46:25,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
sciencenewsline.com,sciencenewsline.com,exact,862645,1.07,13.736,low,3,1,Science Newsline,3,2015-02-12T17:11:00,2017-09-22T15:40:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
journalbreak.com,,unmatched,0,0.0,0.0,unranked,3,1,journalbreak.Com,3,2022-11-25T11:06:04,2022-11-27T01:08:20,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
nach-welt.com,,unmatched,0,0.0,0.0,unranked,3,1,Nachrichten Welt,3,2022-11-25T14:37:52,2022-11-27T04:02:21,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
in.news.yahoo.com,yahoo.com,suffix,57,70.74,99.994,very_high,2,2,Yahoo! News,1,2015-10-07T17:59:30,2018-05-25T09:36:04,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
businessinsider.com,businessinsider.com,exact,346,57.68,99.965,very_high,2,1,Business Insider,2,2015-10-07T17:10:59,2023-07-12T12:53:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
economictimes.indiatimes.com,indiatimes.com,suffix,494,55.1,99.951,very_high,2,1,Times of India,2,2018-05-25T11:27:16,2023-12-29T05:34:53,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
yle.fi,yle.fi,exact,1038,49.73,99.896,high,2,1,Yle.fi,2,2018-05-26T13:29:20,2018-10-02T18:34:02,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
news.yale.edu,yale.edu,suffix,1123,49.16,99.888,high,2,1,Yale News,2,2018-05-24T15:45:27,2021-10-11T14:00:38,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
smithsonianmag.com,smithsonianmag.com,exact,2613,43.05,99.739,high,2,1,Smithsonian Magazine,2,2018-04-20T15:05:28,2018-05-24T15:13:09,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
popsci.com,popsci.com,exact,4283,39.47,99.572,high,2,1,Popular Science,2,2019-09-17T12:57:24,2022-10-26T15:30:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
scitechdaily.com,scitechdaily.com,exact,7825,35.11,99.218,high,2,1,Scitech Daily,2,2018-05-25T17:57:33,2021-10-17T14:57:59,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
interestingengineering.com,interestingengineering.com,exact,9305,33.85,99.07,high,2,1,Interesting Engineering,2,2020-03-21T01:40:34,2022-11-27T08:47:32,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
devdiscourse.com,devdiscourse.com,exact,34172,24.44,96.583,medium,2,1,Devdiscourse,2,2022-11-25T04:19:11,2023-12-20T06:46:15,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
zap.aeiou.pt,aeiou.pt,suffix,51037,21.54,94.896,medium,2,1,ZAP,2,2018-05-26T09:00:15,2024-08-03T20:30:00,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
labmanager.com,labmanager.com,exact,119763,15.36,88.024,low,2,1,Lab Manager,2,2018-05-25T04:00:00,2021-11-17T17:10:43,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
scienmag.com,scienmag.com,exact,194695,11.84,80.531,low,2,1,ScienMag,2,2021-11-17T14:10:29,2024-07-31T18:20:19,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
astrobio.net,astrobio.net,exact,211417,11.25,78.858,low,2,1,Astrobiology Magazine,2,2017-09-24T13:05:46,2018-05-29T11:57:06,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
foreignaffairs.co.nz,foreignaffairs.co.nz,exact,660906,3.0,33.91,low,2,1,Foreign Affairs New Zealand,2,2019-09-13T12:29:43,2020-07-20T13:52:52,NN99W,2026-03-22T22:00:01.537944,2026-03-23T07:40:57.077489+00:00
